primary_genre,count
ART_AND_DESIGN,65
AUTO_AND_VEHICLES,85
BEAUTY,53
Book,112
BOOKS_AND_REFERENCE,231
Business,57
BUSINESS,460
Catalogs,10
COMICS,60
COMMUNICATION,387
DATING,234
Education,453
EDUCATION,156
Entertainment,535
ENTERTAINMENT,149
EVENTS,64
FAMILY,1972
Finance,104
FINANCE,366
Food & Drink,63
FOOD_AND_DRINK,127
GAME,1144
Games,3862
Health & Fitness,180
HEALTH_AND_FITNESS,341
HOUSE_AND_HOME,88
LIBRARIES_AND_DEMO,85
Lifestyle,144
LIFESTYLE,382
MAPS_AND_NAVIGATION,137
Medical,23
MEDICAL,463
Music,138
Navigation,46
News,75
NEWS_AND_MAGAZINES,283
PARENTING,60
PERSONALIZATION,392
Photo & Video,349
PHOTOGRAPHY,335
Productivity,178
PRODUCTIVITY,424
Reference,64
Shopping,122
SHOPPING,260
SOCIAL,295
Social Networking,167
Sports,114
SPORTS,384
TOOLS,843
Travel,81
TRAVEL_AND_LOCAL,258
Utilities,248
VIDEO_PLAYERS,175
Weather,72
WEATHER,82
Total,18037
